"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type"
"COL27A1",0.092632875251371,0.345616674559783,0.205,0.182,1,"COL27A1","Fibroblast"
"CTSL",0.133159559982613,-0.102059591345382,0.595,0.641,1,"CTSL","Fibroblast"
"COL4A5",0.187491604846791,0.284676660766059,0.202,0.183,1,"COL4A5","Fibroblast"
"ZEB1",0.221481610381672,-0.163562258796757,0.525,0.578,1,"ZEB1","Fibroblast"
"PDGFRB",0.223111013522752,0.121599495514825,0.624,0.638,1,"PDGFRB","Fibroblast"
"COL25A1",0.247699177446778,0.202155543028988,0.131,0.116,1,"COL25A1","Fibroblast"
"COL5A3",0.27657087560579,0.48924237316948,0.151,0.139,1,"COL5A3","Fibroblast"
"ANGPT1",0.283495034473263,0.262964313478198,0.153,0.179,1,"ANGPT1","Fibroblast"
"SNAI2",0.29949346232436,0.295399498625297,0.293,0.286,1,"SNAI2","Fibroblast"
"ARNT",0.416584296632624,0.452609511373579,0.204,0.203,1,"ARNT","Fibroblast"
"MTA1",0.529769657685689,0.229937532715114,0.289,0.296,1,"MTA1","Fibroblast"
"TIMP3",0.627791818363524,-0.171138753179101,0.665,0.684,1,"TIMP3","Fibroblast"
"FGF2",0.659191860154603,0.257083039921453,0.222,0.226,1,"FGF2","Fibroblast"
"COL14A1",0.661902402336365,-0.125725956534714,0.451,0.454,1,"COL14A1","Fibroblast"
"TIMP4",0.861343136210412,0.121610695593965,0.116,0.115,1,"TIMP4","Fibroblast"
"COL6A3",0.871496395289711,-0.152058905116183,0.907,0.887,1,"COL6A3","Fibroblast"
